"unitid","institution name","year","C2011_A.First or Second Major","C2011_A.CIP Code -  2010 Classification","CipTitle","C2011_A.Award Level code","C2011_A_RV.Grand total","IDX_C"
"116466","ITT Technical Institute-San Diego","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","14","-2"
"116475","ITT Technical Institute-San Dimas","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","49","-2"
"116475","ITT Technical Institute-San Dimas","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","15","-2"
"116475","ITT Technical Institute-San Dimas","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","73","-2"
"116475","ITT Technical Institute-San Dimas","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","9","-2"
"116484","ITT Technical Institute-Orange","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","64","-2"
"116484","ITT Technical Institute-Orange","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","16","-2"
"116484","ITT Technical Institute-Orange","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","109","-2"
"116484","ITT Technical Institute-Orange","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","1","-2"
"117052","Reedley College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","5","-2"
"117052","Reedley College","2011","First major","'14'","Engineering","Associate's degree","10","-2"
"117052","Reedley College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","17","-2"
"117052","Reedley College","2011","First major","'40'","Physical Sciences","Associate's degree","2","-2"
"117113","The Art Institute of California-Argosy University San Diego","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","68","-2"
"117113","The Art Institute of California-Argosy University San Diego","2011","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"117140","University of La Verne","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","5","-2"
"117140","University of La Verne","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","1","-2"
"117140","University of La Verne","2011","First major","'40'","Physical Sciences","Bachelor's degree","3","-2"
"117195","Lake Tahoe Community College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","2","-2"
"117195","Lake Tahoe Community College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","6","-2"
"117247","Laney College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","27","-2"
"117247","Laney College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","13","-2"
"117274","Lassen Community College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","2","-2"
"117274","Lassen Community College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","2","-2"
"117627","La Sierra University","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","1","-2"
"117627","La Sierra University","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","0","-2"
"117627","La Sierra University","2011","First major","'40'","Physical Sciences","Bachelor's degree","1","-2"
"117636","Loma Linda University","2011","First major","'40'","Physical Sciences","Bachelor's degree","0","-2"
"117636","Loma Linda University","2011","First major","'40'","Physical Sciences","Master's degree","1","-2"
"117636","Loma Linda University","2011","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship (new degree classification)","0","-2"
"117645","Long Beach City College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","5","-2"
"117645","Long Beach City College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","8","-2"
"117645","Long Beach City College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","1","-2"
"117645","Long Beach City College","2011","First major","'40'","Physical Sciences","Associate's degree","5","-2"
"117690","Los Angeles Harbor College","2011","First major","'14'","Engineering","Associate's degree","1","-2"
"117706","Los Angeles Pierce College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","5","-2"
"117706","Los Angeles Pierce College","2011","First major","'14'","Engineering","Associate's degree","1","-2"
"117706","Los Angeles Pierce College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","1","-2"
"117706","Los Angeles Pierce College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","1","-2"
"117715","Los Angeles Southwest College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","1","-2"
"117724","Los Angeles Trade Technical College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","7","-2"
"117724","Los Angeles Trade Technical College","2011","First major","'14'","Engineering","Associate's degree","3","-2"
"117724","Los Angeles Trade Technical College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","16","-2"
"117733","Los Angeles Valley College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","3","-2"
"117733","Los Angeles Valley College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","8","-2"
"117733","Los Angeles Valley College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","6","-2"
"117733","Los Angeles Valley College","2011","First major","'40'","Physical Sciences","Associate's degree","3","-2"
"117751","The Master's College and Seminary","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","2","-2"
"117751","The Master's College and Seminary","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","3","-2"
"117788","Los Angeles City College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","6","-2"
"117788","Los Angeles City College","2011","First major","'14'","Engineering","Associate's degree","2","-2"
"117788","Los Angeles City College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","7","-2"
"117788","Los Angeles City College","2011","First major","'40'","Physical Sciences","Associate's degree","3","-2"
"117867","Los Angeles Mission College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","2","-2"
"117867","Los Angeles Mission College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","8","-2"
"117867","Los Angeles Mission College","2011","First major","'40'","Physical Sciences","Associate's degree","1","-2"
"117894","Los Medanos College","2011","First major","'14'","Engineering","Associate's degree","1","-2"
"117894","Los Medanos College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","6","-2"
"117894","Los Medanos College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","3","-2"
"117928","The Art Institute of California-Argosy University San Francisco","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","10","-2"
"117928","The Art Institute of California-Argosy University San Francisco","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","50","-2"
"117946","Loyola Marymount University","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","4","-2"
