"unitid","institution name","year","C2009_A.CIP Code -  2000 Classification","CipTitle","C2009_A.First or Second Major","C2009_A.Award Level code","C2009_A_RV.Grand total","IDX_C"
"110529","California State Polytechnic University-Pomona","2009","'11'","Computer and information sciences and support services.","Second major","Bachelor's degree","2","-2"
"110529","California State Polytechnic University-Pomona","2009","'14'","Engineering.","First major","Bachelor's degree","579","-2"
"110529","California State Polytechnic University-Pomona","2009","'14'","Engineering.","First major","Master's degree","36","-2"
"110529","California State Polytechnic University-Pomona","2009","'14'","Engineering.","Second major","Bachelor's degree","26","-2"
"110529","California State Polytechnic University-Pomona","2009","'15'","Engineering technologies/technicians.","First major","Bachelor's degree","97","-2"
"110529","California State Polytechnic University-Pomona","2009","'15'","Engineering technologies/technicians.","First major","Master's degree","10","-2"
"110529","California State Polytechnic University-Pomona","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","50","-2"
"110529","California State Polytechnic University-Pomona","2009","'27'","Mathematics and statistics.","First major","Master's degree","11","-2"
"110529","California State Polytechnic University-Pomona","2009","'27'","Mathematics and statistics.","Second major","Bachelor's degree","4","-2"
"110529","California State Polytechnic University-Pomona","2009","'40'","Physical sciences.","First major","Bachelor's degree","48","-2"
"110529","California State Polytechnic University-Pomona","2009","'40'","Physical sciences.","First major","Master's degree","3","-2"
"110529","California State Polytechnic University-Pomona","2009","'40'","Physical sciences.","Second major","Bachelor's degree","6","-2"
"110538","California State University-Chico","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","87","-2"
"110538","California State University-Chico","2009","'11'","Computer and information sciences and support services.","First major","Master's degree","56","-2"
"110538","California State University-Chico","2009","'11'","Computer and information sciences and support services.","Second major","Bachelor's degree","3","-2"
"110538","California State University-Chico","2009","'14'","Engineering.","First major","Bachelor's degree","135","-2"
"110538","California State University-Chico","2009","'14'","Engineering.","First major","Master's degree","17","-2"
"110538","California State University-Chico","2009","'14'","Engineering.","Second major","Bachelor's degree","2","-2"
"110538","California State University-Chico","2009","'15'","Engineering technologies/technicians.","First major","Bachelor's degree","134","-2"
"110538","California State University-Chico","2009","'15'","Engineering technologies/technicians.","Second major","Bachelor's degree","1","-2"
"110538","California State University-Chico","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","29","-2"
"110538","California State University-Chico","2009","'27'","Mathematics and statistics.","Second major","Bachelor's degree","6","-2"
"110538","California State University-Chico","2009","'40'","Physical sciences.","First major","Bachelor's degree","30","-2"
"110538","California State University-Chico","2009","'40'","Physical sciences.","First major","Master's degree","2","-2"
"110547","California State University-Dominguez Hills","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","8","-2"
"110547","California State University-Dominguez Hills","2009","'15'","Engineering technologies/technicians.","First major","Bachelor's degree","5","-2"
"110547","California State University-Dominguez Hills","2009","'15'","Engineering technologies/technicians.","First major","Master's degree","25","-2"
"110547","California State University-Dominguez Hills","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","18","-2"
"110547","California State University-Dominguez Hills","2009","'27'","Mathematics and statistics.","Second major","Bachelor's degree","1","-2"
"110547","California State University-Dominguez Hills","2009","'40'","Physical sciences.","First major","Bachelor's degree","6","-2"
"110556","California State University-Fresno","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","13","-2"
"110556","California State University-Fresno","2009","'11'","Computer and information sciences and support services.","First major","Master's degree","15","-2"
"110556","California State University-Fresno","2009","'14'","Engineering.","First major","Bachelor's degree","112","-2"
"110556","California State University-Fresno","2009","'14'","Engineering.","First major","Master's degree","26","-2"
"110556","California State University-Fresno","2009","'14'","Engineering.","Second major","Bachelor's degree","1","-2"
"110556","California State University-Fresno","2009","'15'","Engineering technologies/technicians.","First major","Bachelor's degree","66","-2"
"110556","California State University-Fresno","2009","'15'","Engineering technologies/technicians.","Second major","Bachelor's degree","2","-2"
"110556","California State University-Fresno","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","29","-2"
"110556","California State University-Fresno","2009","'27'","Mathematics and statistics.","First major","Master's degree","9","-2"
"110556","California State University-Fresno","2009","'27'","Mathematics and statistics.","Second major","Bachelor's degree","2","-2"
"110556","California State University-Fresno","2009","'40'","Physical sciences.","First major","Bachelor's degree","47","-2"
"110556","California State University-Fresno","2009","'40'","Physical sciences.","First major","Master's degree","13","-2"
"110556","California State University-Fresno","2009","'40'","Physical sciences.","Second major","Bachelor's degree","2","-2"
"110565","California State University-Fullerton","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","53","-2"
"110565","California State University-Fullerton","2009","'11'","Computer and information sciences and support services.","First major","Master's degree","62","-2"
"110565","California State University-Fullerton","2009","'11'","Computer and information sciences and support services.","Second major","Bachelor's degree","1","-2"
"110565","California State University-Fullerton","2009","'14'","Engineering.","First major","Bachelor's degree","101","-2"
"110565","California State University-Fullerton","2009","'14'","Engineering.","First major","Master's degree","155","-2"
"110565","California State University-Fullerton","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","29","-2"
"110565","California State University-Fullerton","2009","'27'","Mathematics and statistics.","First major","Master's degree","25","-2"
"110565","California State University-Fullerton","2009","'40'","Physical sciences.","First major","Bachelor's degree","32","-2"
"110565","California State University-Fullerton","2009","'40'","Physical sciences.","First major","Master's degree","10","-2"
"110574","California State University-East Bay","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","42","-2"
"110574","California State University-East Bay","2009","'11'","Computer and information sciences and support services.","First major","Master's degree","42","-2"
"110574","California State University-East Bay","2009","'11'","Computer and information sciences and support services.","Second major","Bachelor's degree","2","-2"
"110574","California State University-East Bay","2009","'14'","Engineering.","First major","Bachelor's degree","13","-2"
"110574","California State University-East Bay","2009","'15'","Engineering technologies/technicians.","First major","Master's degree","5","-2"
"110574","California State University-East Bay","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","20","-2"
"110574","California State University-East Bay","2009","'27'","Mathematics and statistics.","First major","Master's degree","36","-2"
"110574","California State University-East Bay","2009","'27'","Mathematics and statistics.","Second major","Bachelor's degree","4","-2"
"110574","California State University-East Bay","2009","'40'","Physical sciences.","First major","Bachelor's degree","20","-2"
"110574","California State University-East Bay","2009","'40'","Physical sciences.","First major","Master's degree","12","-2"
"110574","California State University-East Bay","2009","'40'","Physical sciences.","Second major","Bachelor's degree","1","-2"
"110583","California State University-Long Beach","2009","'11'","Computer and information sciences and support services.","First major","Master's degree","35","-2"
"110583","California State University-Long Beach","2009","'14'","Engineering.","First major","Bachelor's degree","341","-2"
"110583","California State University-Long Beach","2009","'14'","Engineering.","First major","Master's degree","127","-2"
"110583","California State University-Long Beach","2009","'14'","Engineering.","Second major","Bachelor's degree","16","-2"
"110583","California State University-Long Beach","2009","'15'","Engineering technologies/technicians.","First major","Bachelor's degree","71","-2"
"110583","California State University-Long Beach","2009","'15'","Engineering technologies/technicians.","Second major","Bachelor's degree","3","-2"
"110583","California State University-Long Beach","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","47","-2"
"110583","California State University-Long Beach","2009","'27'","Mathematics and statistics.","First major","Master's degree","40","-2"
"110583","California State University-Long Beach","2009","'27'","Mathematics and statistics.","Second major","Bachelor's degree","1","-2"
"110583","California State University-Long Beach","2009","'40'","Physical sciences.","First major","Bachelor's degree","35","-2"
"110583","California State University-Long Beach","2009","'40'","Physical sciences.","First major","Master's degree","18","-2"
"110583","California State University-Long Beach","2009","'40'","Physical sciences.","Second major","Bachelor's degree","7","-2"
"110592","California State University-Los Angeles","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","75","-2"
"110592","California State University-Los Angeles","2009","'11'","Computer and information sciences and support services.","First major","Master's degree","34","-2"
"110592","California State University-Los Angeles","2009","'11'","Computer and information sciences and support services.","Second major","Bachelor's degree","7","-2"
"110592","California State University-Los Angeles","2009","'14'","Engineering.","First major","Bachelor's degree","103","-2"
"110592","California State University-Los Angeles","2009","'14'","Engineering.","First major","Master's degree","89","-2"
"110592","California State University-Los Angeles","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","26","-2"
"110592","California State University-Los Angeles","2009","'27'","Mathematics and statistics.","First major","Master's degree","18","-2"
"110592","California State University-Los Angeles","2009","'27'","Mathematics and statistics.","Second major","Bachelor's degree","3","-2"
"110592","California State University-Los Angeles","2009","'40'","Physical sciences.","First major","Bachelor's degree","17","-2"
"110592","California State University-Los Angeles","2009","'40'","Physical sciences.","First major","Master's degree","18","-2"
"110608","California State University-Northridge","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","105","-2"
"110608","California State University-Northridge","2009","'11'","Computer and information sciences and support services.","First major","Master's degree","11","-2"
"110608","California State University-Northridge","2009","'11'","Computer and information sciences and support services.","Second major","Bachelor's degree","9","-2"
"110608","California State University-Northridge","2009","'14'","Engineering.","First major","Bachelor's degree","149","-2"
"110608","California State University-Northridge","2009","'14'","Engineering.","First major","Master's degree","90","-2"
"110608","California State University-Northridge","2009","'15'","Engineering technologies/technicians.","First major","Bachelor's degree","6","-2"
"110608","California State University-Northridge","2009","'15'","Engineering technologies/technicians.","First major","Master's degree","76","-2"
"110608","California State University-Northridge","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","39","-2"
"110608","California State University-Northridge","2009","'27'","Mathematics and statistics.","First major","Master's degree","16","-2"
"110608","California State University-Northridge","2009","'27'","Mathematics and statistics.","Second major","Bachelor's degree","2","-2"
"110608","California State University-Northridge","2009","'40'","Physical sciences.","First major","Bachelor's degree","25","-2"
"110608","California State University-Northridge","2009","'40'","Physical sciences.","First major","Master's degree","10","-2"
"110608","California State University-Northridge","2009","'40'","Physical sciences.","Second major","Bachelor's degree","1","-2"
"110617","California State University-Sacramento","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","48","-2"
"110617","California State University-Sacramento","2009","'11'","Computer and information sciences and support services.","First major","Master's degree","24","-2"
"110617","California State University-Sacramento","2009","'14'","Engineering.","First major","Bachelor's degree","208","-2"
"110617","California State University-Sacramento","2009","'14'","Engineering.","First major","Master's degree","83","-2"
"110617","California State University-Sacramento","2009","'14'","Engineering.","Second major","Bachelor's degree","1","-2"
"110617","California State University-Sacramento","2009","'15'","Engineering technologies/technicians.","First major","Bachelor's degree","43","-2"
"110617","California State University-Sacramento","2009","'15'","Engineering technologies/technicians.","Second major","Bachelor's degree","1","-2"
"110617","California State University-Sacramento","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","32","-2"
"110617","California State University-Sacramento","2009","'27'","Mathematics and statistics.","First major","Master's degree","6","-2"
"110617","California State University-Sacramento","2009","'27'","Mathematics and statistics.","Second major","Bachelor's degree","2","-2"
"110617","California State University-Sacramento","2009","'40'","Physical sciences.","First major","Bachelor's degree","56","-2"
"110617","California State University-Sacramento","2009","'40'","Physical sciences.","First major","Master's degree","7","-2"
"110617","California State University-Sacramento","2009","'40'","Physical sciences.","Second major","Bachelor's degree","1","-2"
"110635","University of California-Berkeley","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","73","-2"
"110635","University of California-Berkeley","2009","'11'","Computer and information sciences and support services.","First major","Master's degree","50","-2"
"110635","University of California-Berkeley","2009","'11'","Computer and information sciences and support services.","First major","Doctor's degree (old degree classification)","41","-2"
"110635","University of California-Berkeley","2009","'11'","Computer and information sciences and support services.","Second major","Bachelor's degree","6","-2"
"110635","University of California-Berkeley","2009","'14'","Engineering.","First major","Bachelor's degree","815","-2"
"110635","University of California-Berkeley","2009","'14'","Engineering.","First major","Master's degree","343","-2"
"110635","University of California-Berkeley","2009","'14'","Engineering.","First major","Doctor's degree (old degree classification)","210","-2"
"110635","University of California-Berkeley","2009","'14'","Engineering.","Second major","Bachelor's degree","33","-2"
"110635","University of California-Berkeley","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","202","-2"
"110635","University of California-Berkeley","2009","'27'","Mathematics and statistics.","First major","Master's degree","17","-2"
"110635","University of California-Berkeley","2009","'27'","Mathematics and statistics.","First major","Doctor's degree (old degree classification)","40","-2"
"110635","University of California-Berkeley","2009","'27'","Mathematics and statistics.","Second major","Bachelor's degree","37","-2"
"110635","University of California-Berkeley","2009","'40'","Physical sciences.","First major","Bachelor's degree","238","-2"
"110635","University of California-Berkeley","2009","'40'","Physical sciences.","First major","Master's degree","50","-2"
"110635","University of California-Berkeley","2009","'40'","Physical sciences.","First major","Doctor's degree (old degree classification)","99","-2"
"110635","University of California-Berkeley","2009","'40'","Physical sciences.","Second major","Bachelor's degree","35","-2"
"110644","University of California-Davis","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","54","-2"
"110644","University of California-Davis","2009","'11'","Computer and information sciences and support services.","First major","Master's degree","22","-2"
"110644","University of California-Davis","2009","'11'","Computer and information sciences and support services.","First major","Doctor's degree (old degree classification)","17","-2"
"110644","University of California-Davis","2009","'11'","Computer and information sciences and support services.","Second major","Bachelor's degree","5","-2"
"110644","University of California-Davis","2009","'14'","Engineering.","First major","Bachelor's degree","434","-2"
"110644","University of California-Davis","2009","'14'","Engineering.","First major","Master's degree","125","-2"
"110644","University of California-Davis","2009","'14'","Engineering.","First major","Doctor's degree (old degree classification)","79","-2"
