"unitid","institution name","year","C2012_A.First or Second Major","C2012_A.CIP Code -  2010 Classification","CipTitle","C2012_A.Award Level code","C2012_A.Grand total","IDX_C"
"110583","California State University-Long Beach","2012","First major","'27'","Mathematics and Statistics","Master's degree","58","-2"
"110583","California State University-Long Beach","2012","First major","'40'","Physical Sciences","Bachelor's degree","27","-2"
"110583","California State University-Long Beach","2012","First major","'40'","Physical Sciences","Master's degree","23","-2"
"110583","California State University-Long Beach","2012","Second major","'14'","Engineering","Bachelor's degree","11","-2"
"110583","California State University-Long Beach","2012","Second major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","2","-2"
"110583","California State University-Long Beach","2012","Second major","'40'","Physical Sciences","Bachelor's degree","1","-2"
"110592","California State University-Los Angeles","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","52","-2"
"110592","California State University-Los Angeles","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","48","-2"
"110592","California State University-Los Angeles","2012","First major","'14'","Engineering","Bachelor's degree","119","-2"
"110592","California State University-Los Angeles","2012","First major","'14'","Engineering","Master's degree","124","-2"
"110592","California State University-Los Angeles","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","32","-2"
"110592","California State University-Los Angeles","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","36","-2"
"110592","California State University-Los Angeles","2012","First major","'27'","Mathematics and Statistics","Master's degree","17","-2"
"110592","California State University-Los Angeles","2012","First major","'40'","Physical Sciences","Bachelor's degree","19","-2"
"110592","California State University-Los Angeles","2012","First major","'40'","Physical Sciences","Master's degree","19","-2"
"110592","California State University-Los Angeles","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","8","-2"
"110592","California State University-Los Angeles","2012","Second major","'11'","Computer and Information Sciences and Support Services","Master's degree","1","-2"
"110592","California State University-Los Angeles","2012","Second major","'14'","Engineering","Bachelor's degree","5","-2"
"110592","California State University-Los Angeles","2012","Second major","'14'","Engineering","Master's degree","2","-2"
"110592","California State University-Los Angeles","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","3","-2"
"110592","California State University-Los Angeles","2012","Second major","'40'","Physical Sciences","Bachelor's degree","1","-2"
"110608","California State University-Northridge","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","98","-2"
"110608","California State University-Northridge","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","16","-2"
"110608","California State University-Northridge","2012","First major","'14'","Engineering","Bachelor's degree","174","-2"
"110608","California State University-Northridge","2012","First major","'14'","Engineering","Master's degree","160","-2"
"110608","California State University-Northridge","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","22","-2"
"110608","California State University-Northridge","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Master's degree","86","-2"
"110608","California State University-Northridge","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","32","-2"
"110608","California State University-Northridge","2012","First major","'27'","Mathematics and Statistics","Master's degree","3","-2"
"110608","California State University-Northridge","2012","First major","'40'","Physical Sciences","Bachelor's degree","26","-2"
"110608","California State University-Northridge","2012","First major","'40'","Physical Sciences","Master's degree","25","-2"
"110608","California State University-Northridge","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","9","-2"
"110608","California State University-Northridge","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","2","-2"
"110617","California State University-Sacramento","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","39","-2"
"110617","California State University-Sacramento","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","37","-2"
"110617","California State University-Sacramento","2012","First major","'14'","Engineering","Bachelor's degree","191","-2"
"110617","California State University-Sacramento","2012","First major","'14'","Engineering","Master's degree","88","-2"
"110617","California State University-Sacramento","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","18","-2"
"110617","California State University-Sacramento","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","26","-2"
"110617","California State University-Sacramento","2012","First major","'27'","Mathematics and Statistics","Master's degree","3","-2"
"110617","California State University-Sacramento","2012","First major","'40'","Physical Sciences","Bachelor's degree","60","-2"
"110617","California State University-Sacramento","2012","First major","'40'","Physical Sciences","Master's degree","9","-2"
"110617","California State University-Sacramento","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","1","-2"
"110617","California State University-Sacramento","2012","Second major","'40'","Physical Sciences","Bachelor's degree","2","-2"
"110635","University of California-Berkeley","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","91","-2"
"110635","University of California-Berkeley","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","57","-2"
"110635","University of California-Berkeley","2012","First major","'11'","Computer and Information Sciences and Support Services","Doctor's degree - research/scholarship ","31","-2"
"110635","University of California-Berkeley","2012","First major","'14'","Engineering","Bachelor's degree","918","-2"
"110635","University of California-Berkeley","2012","First major","'14'","Engineering","Master's degree","423","-2"
"110635","University of California-Berkeley","2012","First major","'14'","Engineering","Doctor's degree - research/scholarship ","188","-2"
"110635","University of California-Berkeley","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","268","-2"
"110635","University of California-Berkeley","2012","First major","'27'","Mathematics and Statistics","Master's degree","33","-2"
"110635","University of California-Berkeley","2012","First major","'27'","Mathematics and Statistics","Doctor's degree - research/scholarship ","28","-2"
"110635","University of California-Berkeley","2012","First major","'40'","Physical Sciences","Bachelor's degree","241","-2"
"110635","University of California-Berkeley","2012","First major","'40'","Physical Sciences","Master's degree","78","-2"
"110635","University of California-Berkeley","2012","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship ","113","-2"
"110635","University of California-Berkeley","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","23","-2"
"110635","University of California-Berkeley","2012","Second major","'14'","Engineering","Bachelor's degree","18","-2"
"110635","University of California-Berkeley","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","56","-2"
"110635","University of California-Berkeley","2012","Second major","'40'","Physical Sciences","Bachelor's degree","43","-2"
"110644","University of California-Davis","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","60","-2"
"110644","University of California-Davis","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","34","-2"
"110644","University of California-Davis","2012","First major","'11'","Computer and Information Sciences and Support Services","Doctor's degree - research/scholarship ","19","-2"
"110644","University of California-Davis","2012","First major","'14'","Engineering","Bachelor's degree","593","-2"
"110644","University of California-Davis","2012","First major","'14'","Engineering","Master's degree","165","-2"
"110644","University of California-Davis","2012","First major","'14'","Engineering","Doctor's degree - research/scholarship ","95","-2"
"110644","University of California-Davis","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","73","-2"
"110644","University of California-Davis","2012","First major","'27'","Mathematics and Statistics","Master's degree","9","-2"
"110644","University of California-Davis","2012","First major","'27'","Mathematics and Statistics","Doctor's degree - research/scholarship ","22","-2"
"110644","University of California-Davis","2012","First major","'40'","Physical Sciences","Bachelor's degree","213","-2"
"110644","University of California-Davis","2012","First major","'40'","Physical Sciences","Master's degree","38","-2"
"110644","University of California-Davis","2012","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship ","70","-2"
"110644","University of California-Davis","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","6","-2"
"110644","University of California-Davis","2012","Second major","'14'","Engineering","Bachelor's degree","58","-2"
"110644","University of California-Davis","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","37","-2"
"110644","University of California-Davis","2012","Second major","'40'","Physical Sciences","Bachelor's degree","6","-2"
"110653","University of California-Irvine","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","184","-2"
"110653","University of California-Irvine","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","108","-2"
"110653","University of California-Irvine","2012","First major","'11'","Computer and Information Sciences and Support Services","Doctor's degree - research/scholarship ","29","-2"
"110653","University of California-Irvine","2012","First major","'14'","Engineering","Bachelor's degree","523","-2"
"110653","University of California-Irvine","2012","First major","'14'","Engineering","Master's degree","139","-2"
"110653","University of California-Irvine","2012","First major","'14'","Engineering","Doctor's degree - research/scholarship ","82","-2"
"110653","University of California-Irvine","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","79","-2"
"110653","University of California-Irvine","2012","First major","'27'","Mathematics and Statistics","Master's degree","36","-2"
"110653","University of California-Irvine","2012","First major","'27'","Mathematics and Statistics","Doctor's degree - research/scholarship ","21","-2"
"110653","University of California-Irvine","2012","First major","'40'","Physical Sciences","Bachelor's degree","217","-2"
"110653","University of California-Irvine","2012","First major","'40'","Physical Sciences","Master's degree","39","-2"
"110653","University of California-Irvine","2012","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship ","66","-2"
"110653","University of California-Irvine","2012","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","1","-2"
"110653","University of California-Irvine","2012","Second major","'14'","Engineering","Bachelor's degree","44","-2"
"110653","University of California-Irvine","2012","Second major","'40'","Physical Sciences","Bachelor's degree","1","-2"
"110662","University of California-Los Angeles","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","99","-2"
"110662","University of California-Los Angeles","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","108","-2"
"110662","University of California-Los Angeles","2012","First major","'11'","Computer and Information Sciences and Support Services","Doctor's degree - research/scholarship ","32","-2"
"110662","University of California-Los Angeles","2012","First major","'14'","Engineering","Bachelor's degree","617","-2"
"110662","University of California-Los Angeles","2012","First major","'14'","Engineering","Master's degree","426","-2"
"110662","University of California-Los Angeles","2012","First major","'14'","Engineering","Doctor's degree - research/scholarship ","124","-2"
"110662","University of California-Los Angeles","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","344","-2"
"110662","University of California-Los Angeles","2012","First major","'27'","Mathematics and Statistics","Master's degree","41","-2"
"110662","University of California-Los Angeles","2012","First major","'27'","Mathematics and Statistics","Doctor's degree - research/scholarship ","44","-2"
"110662","University of California-Los Angeles","2012","First major","'40'","Physical Sciences","Bachelor's degree","126","-2"
"110662","University of California-Los Angeles","2012","First major","'40'","Physical Sciences","Master's degree","77","-2"
"110662","University of California-Los Angeles","2012","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship ","65","-2"
"110662","University of California-Los Angeles","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","10","-2"
